,experiment,condition,subject,block,level_4,p,nll,bic,model
29,2,new_learn,74,2,1,38.83754953929018,86.4173953723784,182.04513111673296,nll_unix_0
30,2,new_learn,74,2,0,33.78599291415887,66.36177328449605,141.93388694096828,nll_unix_1
31,2,new_learn,74,2,1,38.837649550955916,66.36177328449605,141.93388694096828,nll_unix_1
32,2,new_learn,74,2,0,65.2112636841792,76.2336421474655,161.67762466690718,nll_uniy_0
33,2,new_learn,74,2,1,38.83612476379309,76.2336421474655,161.67762466690718,nll_uniy_0
34,2,new_learn,74,2,0,39.25972727767336,84.63613800553779,178.48261638305175,nll_uniy_1
35,2,new_learn,74,2,1,38.83752239308001,84.63613800553779,178.48261638305175,nll_uniy_1
36,2,new_learn,74,2,0,-0.8750810494415483,62.81848164183579,139.45247384163585,nll_glc_0
37,2,new_learn,74,2,1,3.192800003586254,62.81848164183579,139.45247384163585,nll_glc_0
38,2,new_learn,74,2,2,38.815782357655436,62.81848164183579,139.45247384163585,nll_glc_0
39,2,new_learn,74,2,0,0.9999998842979101,66.37870070328707,146.5729119645384,nll_glc_1
40,2,new_learn,74,2,1,-33.57622123458146,66.37870070328707,146.5729119645384,nll_glc_1
41,2,new_learn,74,2,2,38.79060497385845,66.37870070328707,146.5729119645384,nll_glc_1
42,2,new_learn,74,6,0,68.93696813051466,77.92067140466557,165.0516831813073,nll_unix_0
43,2,new_learn,74,6,1,38.85883505486005,77.92067140466557,165.0516831813073,nll_unix_0
44,2,new_learn,74,6,0,24.787996041814665,65.80789212409994,140.82612462017605,nll_unix_1
45,2,new_learn,74,6,1,38.859022013498176,65.80789212409994,140.82612462017605,nll_unix_1
46,2,new_learn,74,6,0,72.50380786549941,67.77313343496346,144.75660724190308,nll_uniy_0
47,2,new_learn,74,6,1,38.85538942746392,67.77313343496346,144.75660724190308,nll_uniy_0
48,2,new_learn,74,6,0,27.070573437398938,80.99692517996694,171.20419073191005,nll_uniy_1
49,2,new_learn,74,6,1,38.85241708656565,80.99692517996694,171.20419073191005,nll_uniy_1
50,2,new_learn,74,6,0,0.345839825762678,67.28057712671468,148.37666481139362,nll_glc_0
51,2,new_learn,74,6,1,-85.18903627832277,67.28057712671468,148.37666481139362,nll_glc_0
52,2,new_learn,74,6,2,38.84605609410689,67.28057712671468,148.37666481139362,nll_glc_0
53,2,new_learn,74,6,0,0.9935813647375697,65.71365972627086,145.242830010506,nll_glc_1
54,2,new_learn,74,6,1,-30.611532013347166,65.71365972627086,145.242830010506,nll_glc_1
55,2,new_learn,74,6,2,38.8538656245289,65.71365972627086,145.242830010506,nll_glc_1
56,2,new_learn,76,2,0,57.70324659766286,71.56259479957156,152.33552997111929,nll_unix_0
57,2,new_learn,76,2,1,38.89200126907709,71.56259479957156,152.33552997111929,nll_unix_0
58,2,new_learn,76,2,0,47.350934638578345,88.44761406381696,186.1055684996101,nll_unix_1
59,2,new_learn,76,2,1,38.8998521967558,88.44761406381696,186.1055684996101,nll_unix_1
60,2,new_learn,76,2,0,53.91569294745761,45.7271060874335,100.66455254684318,nll_uniy_0
61,2,new_learn,76,2,1,22.24099205983343,45.7271060874335,100.66455254684318,nll_uniy_0
62,2,new_learn,76,2,0,46.35427149879076,112.01442400829862,233.2391883885734,nll_uniy_1
63,2,new_learn,76,2,1,38.898066693635826,112.01442400829862,233.2391883885734,nll_uniy_1
64,2,new_learn,76,2,0,-0.05899203023048172,45.63783152922997,105.09117361642421,nll_glc_0
