condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",24,250,Left,63.098572561211846,79.08081728457107,3.1549286280605924,1.2421985731054261,Right,Incorrect,0.0,0.0,-45,45,2001,2816,-0.81
"{'cat': 'II', 'resp': 'reach'}",24,251,Left,62.30786889759594,72.46163155681323,3.115393444879797,1.138224646830074,Left,Correct,0.0,0.0,-45,45,2006,2866,-2.45
"{'cat': 'II', 'resp': 'reach'}",24,252,Right,62.632069661015855,47.43658560988525,3.1316034830507924,0.745132144316994,Right,Correct,0.0,0.0,-45,45,2003,1783,-0.73
"{'cat': 'II', 'resp': 'reach'}",24,253,Right,75.89842810777714,51.007578471430534,3.7949214053888567,0.8012251690162553,Right,Correct,0.0,0.0,-45,45,2004,954,-0.79
"{'cat': 'II', 'resp': 'reach'}",24,254,Right,67.02622998048025,45.26932762682961,3.3513114990240127,0.7110889355269868,Right,Correct,0.0,0.0,-45,45,2004,833,-0.83
"{'cat': 'II', 'resp': 'reach'}",24,255,Right,76.04379739227767,54.920543633203124,3.8021898696138834,0.8626898820461432,Right,Correct,0.0,0.0,-45,45,2001,801,-0.81
"{'cat': 'II', 'resp': 'reach'}",24,256,Right,57.20193968126896,28.893612027646036,2.860096984063448,0.45385979640863233,Right,Correct,0.0,0.0,-45,45,2004,1472,-0.83
"{'cat': 'II', 'resp': 'reach'}",24,257,Right,46.11285790955221,23.30575735098032,2.3056428954776105,0.3660859804009305,Right,Correct,0.0,0.0,-45,45,2010,2014,-0.82
"{'cat': 'II', 'resp': 'reach'}",24,258,Right,41.55603736868305,14.174608610971827,2.0778018684341526,0.22265423139869855,Right,Correct,0.0,0.0,-45,45,2003,1671,-0.83
"{'cat': 'II', 'resp': 'reach'}",24,259,Right,60.24330866503807,37.95382728231829,3.0121654332519032,0.596177324828735,Right,Correct,0.0,0.0,-45,45,2010,1306,-0.79
"{'cat': 'II', 'resp': 'reach'}",24,260,Left,61.996233342955925,74.50580092979547,3.0998116671477964,1.170334384254345,Left,Correct,0.0,0.0,-45,45,2003,2043,-2.3
"{'cat': 'II', 'resp': 'reach'}",24,261,Right,73.11089267075688,41.77061566997997,3.655544633537844,0.6561312966236588,Right,Correct,0.0,0.0,-45,45,2009,857,-0.8
"{'cat': 'II', 'resp': 'reach'}",24,262,Left,24.921601329885952,35.30748585050611,1.2460800664942977,0.5546086908233778,Left,Correct,0.0,0.0,-45,45,2009,949,-2.35
"{'cat': 'II', 'resp': 'reach'}",24,263,Right,87.16282295516119,64.58722779752492,4.358141147758059,1.0145338018221737,Right,Correct,0.0,0.0,-45,45,2008,910,-0.81
"{'cat': 'II', 'resp': 'reach'}",24,264,Left,40.3048321971501,49.21436969135111,2.015241609857505,0.7730575113670041,Left,Correct,0.0,0.0,-45,45,2011,1179,-2.43
"{'cat': 'II', 'resp': 'reach'}",24,265,Left,67.23785386873105,85.32386487543617,3.3618926934365527,1.3402641353427922,Left,Correct,0.0,0.0,-45,45,2003,1352,-2.36
"{'cat': 'II', 'resp': 'reach'}",24,266,Left,29.69944691630386,46.009964339360806,1.484972345815193,0.7227228298023213,Left,Correct,0.0,0.0,-45,45,2006,1103,-2.32
"{'cat': 'II', 'resp': 'reach'}",24,267,Left,43.62126978294788,71.81289220361607,2.1810634891473937,1.1280342728995798,Left,Correct,0.0,0.0,-45,45,2003,1013,-2.42
"{'cat': 'II', 'resp': 'reach'}",24,268,Right,74.38431471804307,42.35536373912042,3.7192157359021536,0.6653164978147211,Right,Correct,0.0,0.0,-45,45,2004,873,-0.75
"{'cat': 'II', 'resp': 'reach'}",24,269,Left,36.78981550025945,51.97919702240416,1.8394907750129728,0.8164873175254068,Left,Correct,0.0,0.0,-45,45,2009,1053,-2.38
"{'cat': 'II', 'resp': 'reach'}",24,270,Left,22.960511734675265,48.89137668191339,1.1480255867337632,0.7679839490389521,Left,Correct,0.0,0.0,-45,45,2002,985,-2.36
"{'cat': 'II', 'resp': 'reach'}",24,271,Right,77.59274367947779,50.226931121960575,3.8796371839738897,0.7889627891255595,Right,Correct,0.0,0.0,-45,45,2007,901,-0.81
"{'cat': 'II', 'resp': 'reach'}",24,272,Left,43.88927124499295,56.00689748687561,2.1944635622496476,0.8797542884756254,Left,Correct,0.0,0.0,-45,45,2006,962,-2.32
"{'cat': 'II', 'resp': 'reach'}",24,273,Left,46.62080994048842,53.8171669802999,2.331040497024421,0.8453580821116268,Left,Correct,0.0,0.0,-45,45,2002,976,-2.41
"{'cat': 'II', 'resp': 'reach'}",24,274,Left,45.268390404146814,55.4902870265295,2.263419520207341,0.8716393903406705,Left,Correct,0.0,0.0,-45,45,2009,1126,-2.37
"{'cat': 'II', 'resp': 'reach'}",24,275,Left,14.965397225524349,31.856498746545974,0.7482698612762175,0.5004007121562064,Left,Correct,0.0,0.0,-45,45,2004,2562,-2.37
"{'cat': 'II', 'resp': 'reach'}",24,276,Right,61.480546060996225,42.94540847596246,3.074027303049811,0.6745848988674825,Right,Correct,0.0,0.0,-45,45,2004,965,-0.84
"{'cat': 'II', 'resp': 'reach'}",24,277,Right,56.48852168488005,30.671212956682943,2.8244260842440023,0.4817822865070161,Right,Correct,0.0,0.0,-45,45,2009,1655,-0.73
"{'cat': 'II', 'resp': 'reach'}",24,278,Left,21.87415749626484,44.57844968291127,1.093707874813242,0.7002366501612814,Left,Correct,0.0,0.0,-45,45,2004,845,-2.25
"{'cat': 'II', 'resp': 'reach'}",24,279,Right,44.56113670063244,24.55188294190133,2.2280568350316217,0.3856600754103689,Right,Correct,0.0,0.0,-45,45,2004,2143,-0.77
"{'cat': 'II', 'resp': 'reach'}",24,280,Left,58.67816742198158,67.21838293035738,2.9339083710990788,1.0558638900009814,Left,Correct,0.0,0.0,-45,45,2001,1665,-2.4
"{'cat': 'II', 'resp': 'reach'}",24,281,Left,29.034460510091492,52.49644009427969,1.4517230255045745,0.8246121526990288,Left,Correct,0.0,0.0,-45,45,2001,822,-2.36
"{'cat': 'II', 'resp': 'reach'}",24,282,Left,11.548650339522727,34.748129081130415,0.5774325169761363,0.5458223352363458,Left,Correct,0.0,0.0,-45,45,2003,890,-2.38
"{'cat': 'II', 'resp': 'reach'}",24,283,Left,39.898602964716105,58.608133241560715,1.9949301482358053,0.9206144041614945,Left,Correct,0.0,0.0,-45,45,2006,1806,-2.42
"{'cat': 'II', 'resp': 'reach'}",24,284,Left,39.43267158391189,50.430302550881045,1.9716335791955943,0.7921573400607924,Left,Correct,0.0,0.0,-45,45,2006,957,-2.42
